"second","TerrenceJones","RashadVaughn","MalcolmBrogdon","SpencerHawes","TonySnell","GiannisAntetokounmpo","KhrisMiddleton","MirzaTeletovic","JasonTerry","MatthewDellavedova","GregMonroe","ThonMaker","JohnHenson","AxelToupane","MichaelBeasley","JabariParker","MilesPlumlee","SteveNovak"
2510,0,12,49,2,27,54,9,25,37,30,34,7,16,0,15,35,3,0
2511,0,12,49,2,27,54,9,25,37,30,34,7,16,0,15,35,3,0
2512,0,12,49,2,28,54,9,25,37,30,34,7,16,0,14,35,3,0
2513,0,12,49,2,28,54,9,25,37,30,34,7,16,0,14,35,3,0
2514,0,12,49,2,28,55,9,24,37,30,34,7,16,0,14,35,3,0
2515,0,12,49,2,28,55,9,24,37,30,34,7,16,0,14,35,3,0
2516,0,12,49,2,28,55,9,24,37,30,34,7,16,0,14,35,3,0
2517,0,12,49,2,28,55,9,24,37,30,34,7,16,0,14,35,3,0
2518,0,12,49,2,28,55,9,24,37,30,34,7,16,0,14,35,3,0
2519,0,12,49,2,28,54,9,24,37,30,34,7,16,0,14,36,3,0
2520,0,12,49,2,28,54,9,24,37,30,34,7,16,0,14,36,3,0
2521,0,12,49,2,28,54,9,24,36,30,35,7,16,0,14,36,3,0
2522,0,11,49,2,29,54,9,24,36,30,35,7,16,0,14,36,3,0
2523,0,11,49,2,29,54,9,24,36,30,35,7,16,0,14,36,3,0
2524,0,11,49,2,29,54,9,24,36,30,35,7,16,0,14,36,3,0
2525,0,11,49,2,29,54,9,24,36,30,35,7,16,0,14,36,3,0
2526,0,11,49,2,29,54,9,24,36,30,35,7,16,0,14,36,3,0
2527,0,11,48,2,30,54,9,23,35,31,35,7,16,0,14,37,3,0
2528,0,11,48,2,31,53,9,23,34,32,34,7,17,0,14,37,3,0
2529,0,11,48,1,32,53,9,22,34,33,34,7,17,0,14,37,3,0
2530,0,11,48,1,32,53,9,22,34,33,34,7,17,0,14,37,3,0
2531,0,11,48,1,33,54,8,22,33,33,34,7,17,0,14,37,3,0
2532,0,11,49,1,33,55,7,21,33,33,33,8,17,0,14,37,3,0
2533,0,11,49,1,33,55,7,21,33,33,32,8,18,0,14,37,3,0
2534,0,11,49,1,33,55,7,21,33,33,32,8,18,0,14,37,3,0
2535,0,11,49,1,33,55,7,21,33,33,32,8,18,0,14,37,3,0
2536,0,11,49,1,33,55,7,21,33,33,32,8,18,0,14,37,3,0
2537,0,11,49,1,33,55,7,21,33,33,32,8,18,0,14,37,3,0
2538,0,11,49,1,33,55,7,21,33,33,32,8,18,0,14,37,3,0
2539,0,11,49,1,33,55,7,21,33,33,32,8,18,0,14,37,3,0
2540,0,11,49,2,33,54,7,22,33,33,32,8,17,0,14,37,3,0
2541,0,11,49,2,33,54,7,22,33,33,32,8,17,0,14,37,3,0
2542,0,11,49,2,33,54,7,22,33,33,32,8,17,0,14,37,3,0
2543,0,10,49,2,34,54,7,22,33,33,32,8,17,0,14,37,3,0
2544,0,10,49,2,34,54,7,22,33,33,32,8,17,0,14,37,3,0
2545,0,10,48,2,34,54,7,22,33,34,31,8,18,0,14,37,3,0
2546,0,10,49,2,35,55,6,21,32,34,31,8,18,0,14,37,3,0
2547,0,10,49,2,35,55,6,21,32,34,31,8,18,0,14,37,3,0
2548,0,10,48,2,37,55,7,20,31,34,31,8,18,0,14,37,3,0
2549,0,10,48,2,37,55,7,20,31,34,31,8,18,0,14,37,3,0
2550,0,10,48,2,38,55,7,20,30,34,30,8,19,0,14,37,3,0
2551,0,10,48,2,38,55,7,20,30,34,30,8,19,0,14,37,3,0
2552,0,10,48,2,38,55,7,19,30,34,31,8,18,0,15,37,3,0
2553,0,10,48,2,38,55,7,19,30,34,31,8,18,0,15,37,3,0
2554,0,10,48,2,38,54,7,19,30,34,31,8,18,0,15,38,3,0
2555,0,10,48,2,38,54,7,19,30,34,31,8,18,0,15,38,3,0
2556,0,10,48,2,38,54,7,19,30,34,31,8,18,0,15,38,3,0
2557,0,10,48,2,38,54,7,19,30,34,31,8,18,0,15,38,3,0
2558,0,10,48,2,38,54,7,19,30,34,31,8,18,0,15,38,3,0
2559,0,10,48,2,38,54,7,19,30,34,31,8,18,0,15,38,3,0
2560,0,10,48,2,38,54,7,20,30,34,30,8,19,0,14,38,3,0
2561,0,10,48,2,38,54,7,20,30,34,30,8,19,0,14,38,3,0
2562,0,10,48,2,38,54,7,20,30,34,30,8,19,0,14,38,3,0
2563,0,10,48,2,38,54,7,20,30,34,30,8,19,0,14,38,3,0
2564,0,10,49,2,38,54,7,19,27,33,31,8,20,0,14,40,3,0
2565,0,10,49,2,38,54,7,19,27,33,31,8,20,0,14,40,3,0
2566,0,10,49,2,38,54,7,19,27,33,32,7,20,0,14,40,3,0
